train dataset: size=3960
  inp: shape=(1, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 1)
val dataset: size=1600
  inp: shape=(1, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 1)
model: #params=300.7K
epoch 174/200, train: loss=0.0214, val: psnr=36.9108, 51.0s 2.2h/2.6h
epoch 175/200, train: loss=0.0214, val: psnr=36.7458, 51.5s 2.2h/2.6h
epoch 176/200, train: loss=0.0214, val: psnr=37.0454, 51.0s 2.3h/2.6h
epoch 177/200, train: loss=0.0215, val: psnr=37.0470, 47.2s 2.3h/2.6h
epoch 178/200, train: loss=0.0214, val: psnr=36.9388, 42.9s 2.3h/2.6h
epoch 179/200, train: loss=0.0213, val: psnr=36.8942, 38.9s 2.3h/2.6h
epoch 180/200, train: loss=0.0213, val: psnr=36.9152, 39.5s 2.3h/2.6h
epoch 181/200, train: loss=0.0215, val: psnr=36.6005, 46.5s 2.3h/2.6h
epoch 182/200, train: loss=0.0214, val: psnr=36.8201, 50.5s 2.3h/2.6h
epoch 183/200, train: loss=0.0215, val: psnr=36.9146, 51.7s 2.4h/2.6h
epoch 184/200, train: loss=0.0215, val: psnr=37.0386, 51.0s 2.4h/2.6h
epoch 185/200, train: loss=0.0215, val: psnr=36.8214, 47.3s 2.4h/2.6h
epoch 186/200, train: loss=0.0213, val: psnr=36.9299, 43.0s 2.4h/2.6h
epoch 187/200, train: loss=0.0214, val: psnr=36.7285, 38.9s 2.4h/2.6h
epoch 188/200, train: loss=0.0214, val: psnr=36.7657, 39.3s 2.4h/2.6h
epoch 189/200, train: loss=0.0213, val: psnr=36.9094, 46.4s 2.4h/2.6h
epoch 190/200, train: loss=0.0215, val: psnr=36.8457, 51.0s 2.4h/2.6h
epoch 191/200, train: loss=0.0214, val: psnr=36.9044, 51.5s 2.5h/2.6h
epoch 192/200, train: loss=0.0214, val: psnr=36.7460, 51.0s 2.5h/2.6h
epoch 193/200, train: loss=0.0216, val: psnr=36.6385, 47.4s 2.5h/2.6h
epoch 194/200, train: loss=0.0214, val: psnr=36.9284, 43.3s 2.5h/2.6h
epoch 195/200, train: loss=0.0214, val: psnr=37.0568, 39.0s 2.5h/2.6h
epoch 196/200, train: loss=0.0214, val: psnr=36.9395, 39.0s 2.5h/2.6h
epoch 197/200, train: loss=0.0215, val: psnr=36.9072, 45.5s 2.5h/2.6h
epoch 198/200, train: loss=0.0213, val: psnr=36.8988, 49.6s 2.5h/2.6h
epoch 199/200, train: loss=0.0214, val: psnr=36.7997, 51.6s 2.6h/2.6h
epoch 200/200, train: loss=0.0214, val: psnr=36.7370, 51.5s 2.6h/2.6h
